@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-7

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X numeric
@attribute TYPE_ACCELEROMETER_Y numeric
@attribute TYPE_ACCELEROMETER_Z numeric
@attribute TYPE_GYROSCOPE_X numeric
@attribute TYPE_GYROSCOPE_Y numeric
@attribute TYPE_GYROSCOPE_Z numeric

@data
walking,1.977921,8.220017,2.136643,1.33136,-0.83374,-0.83873
walking,2.87294,6.025314,0.434677,1.891052,-0.279388,-0.990402
walking,6.217362,11.033615,1.572495,2.523377,-0.826263,-0.925247
walking,4.439224,11.869125,0.118088,2.865173,-0.27298,-1.184799
walking,5.569901,12.592758,-1.291092,2.079041,-0.10849,-1.281998
walking,6.200699,12.856979,-1.860001,2.09613,-2.322693,-0.989334
walking,4.872452,13.63298,-0.486527,2.234985,-3.713379,-0.781052
walking,4.327347,11.942917,-0.479385,1.635773,-2.04071,-0.511887
walking,2.334976,14.556564,5.281113,1.187164,-1.55365,-0.409348
walking,-1.887802,11.38591,3.72435,2.184784,2.018127,-2.391769
walking,-2.737595,7.524948,2.467514,2.184784,2.018127,-2.391769
walking,0.81868,4.20433,-1.46962,2.754089,3.043518,-2.016861
walking,2.820572,2.08342,-1.357742,2.682526,2.989044,-1.547958
walking,2.725357,0.614731,-1.186356,2.108948,2.403717,-1.19548
walking,2.161209,0.838486,-2.983536,1.60907,2.302246,-0.857956
walking,1.666092,1.733505,-3.014481,0.304901,1.313171,-0.385849
walking,1.413773,2.749924,-2.954971,0.304901,1.313171,-0.385849
walking,1.135269,3.885361,-2.75264,-0.271881,1.051483,-0.291855
walking,0.616348,5.025559,-4.171341,-0.752533,1.072846,-0.275833
walking,-0.152512,7.441635,-6.932571,-1.019562,1.171112,-0.238449
walking,-1.564072,11.374008,-8.948746,-1.162689,1.042938,-0.196793
walking,-3.970627,14.501816,-9.81044,-1.046265,0.624237,-0.213882
walking,-2.90184,14.761276,-10.293655,-0.527161,0.179901,-0.234177
walking,-0.104904,13.352097,-8.237015,0.189545,0.046387,-0.099594
walking,0.954361,10.16954,-9.248673,0.712921,0.396729,-0.080368
walking,0.580643,7.477341,-12.007523,0.67981,1.28006,-0.206406
walking,1.389969,8.836533,-9.822342,0.421326,0.909424,-0.20961
walking,4.808182,10.050522,-6.406509,-0.752533,-1.645508,0.683334
walking,6.581558,12.997421,3.362534,-0.752533,-1.645508,0.683334
walking,4.122635,15.794357,-0.488907,-1.096466,-2.072754,0.815781
walking,-2.70665,9.838669,3.72435,-0.314606,-0.158691,0.927933
walking,0.718704,7.367844,1.334457,-0.469482,-0.928803,0.415237
walking,0.606827,5.249313,0.13475,-1.126373,-0.661774,0.313766
walking,1.2043,5.884872,1.165451,-1.774719,-1.40625,0.350082
walking,1.506607,6.606125,2.37706,-2.493561,-1.75766,0.746353
walking,1.616104,8.460434,2.255661,-2.956055,-1.854858,1.207779
walking,1.170975,11.378769,4.257553,-2.901581,-1.94458,1.636093
walking,1.970779,15.032639,2.541306,-2.489288,-1.980896,1.991776
walking,3.070511,12.392807,-0.334183,-2.169922,-1.255646,2.220352
walking,-0.580978,7.801071,-0.134232,-1.676453,-0.577393,0.92366
walking,0.88295,6.841782,3.048325,-1.467102,-0.173645,0.428055
walking,1.432816,6.615646,0.52037,-1.331451,0.24292,0.418442
walking,0.171219,7.044113,-0.465103,-1.270569,0.785522,0.432327
walking,-0.240585,6.986984,0.546555,-1.450012,0.885925,0.429123
walking,-0.600021,7.044113,-1.288712,-1.282318,0.666962,0.358627
walking,0.137894,7.672531,-0.615067,-0.937317,0.387115,0.375717
walking,0.640152,8.522324,0.596542,-0.968292,0.120087,0.413101
walking,1.259049,9.386398,-0.484146,-0.787781,0.013275,0.455826
walking,1.823196,11.533493,0.867905,-0.807007,-0.248413,0.497482
walking,1.785111,13.69725,1.267807,-0.958679,-0.109558,0.609634
walking,1.101944,15.075485,0.472763,-0.773895,0.14679,0.666245
walking,-0.811874,14.751755,1.34874,-0.654266,0.13504,0.591476
walking,-1.456955,14.901718,0.905991,-0.378693,-0.05722,0.468643
walking,-1.468857,15.572983,-0.224686,0.020782,-0.164032,0.325516
walking,-0.490524,16.213303,-0.917374,0.190613,0.007935,0.007217
walking,0.221207,14.366135,2.450851,0.331604,-0.118103,-0.346329
walking,0.811539,11.650131,3.78862,0.973541,-0.340271,-0.684921
walking,1.808914,8.531845,1.860519,1.704132,0.069885,-0.809891
walking,3.856033,8.69133,1.429672,2.225372,0.066681,-0.945541
walking,7.007645,11.645371,1.639145,2.844879,0.675507,-1.106827
walking,5.979324,11.140732,-0.393692,2.844879,0.675507,-1.106827
walking,7.545609,12.164291,-4.138016,2.443268,-0.496216,-1.029923
walking,8.312088,13.023605,-1.85286,2.402679,-3.010559,-0.797073
walking,4.934341,12.873642,0.279953,1.966888,-3.933411,-0.669968
walking,2.246903,10.676559,3.488693,1.335632,-2.419891,-0.715897
walking,1.192398,14.154282,6.440353,1.091034,-2.692261,-0.87291
walking,-2.89708,11.728683,3.890976,1.288635,0.904083,-1.953842
walking,-2.599533,7.210739,2.669846,2.432587,2.415466,-2.634232
walking,1.956497,3.571152,-0.941177,2.728455,2.899323,-2.115128
walking,4.084549,0.917038,-1.745743,2.557556,2.646179,-1.67186
walking,2.768204,-0.22554,-2.602676,1.924164,2.120667,-1.204025
walking,1.797012,0.745651,-2.312271,1.192505,1.813049,-0.793869
walking,1.223343,1.152695,-2.314652,0.526001,1.347351,-0.463821
walking,1.349503,1.819199,-2.966873,0.003693,0.992737,-0.253403
walking,0.904373,3.266464,-4.328445,-0.512207,0.846405,-0.147659
walking,0.259293,4.96843,-6.718338,-0.985382,0.910492,-0.09639
walking,-1.128464,8.210495,-7.272965,-1.440399,0.98526,-0.015213
walking,-2.037766,12.630844,-7.061112,-1.704224,1.011963,-0.018417
walking,-2.461472,16.946457,-7.413406,-1.33786,0.95108,0.005081
walking,-0.65477,18.70079,-6.658829,-0.321014,0.697937,-0.017349
walking,1.125748,12.885544,-9.048721,0.884888,0.064545,-0.148727
walking,0.202164,7.332138,-14.36171,1.29184,0.930786,-0.386917
walking,-0.114426,7.101242,-10.933975,0.950043,1.134796,-0.476639
walking,2.532547,9.648239,-6.339859,0.205566,-0.220642,-0.099594
walking,5.593704,13.813889,4.324204,-0.384033,-1.006775,0.422714
walking,5.82222,16.087143,0.368027,-0.804871,-1.719208,0.587204
walking,-1.68071,8.941269,2.108078,-0.27829,0.217285,0.653427
walking,0.197403,5.958664,-1.738602,-0.215271,-0.127716,0.387466
walking,0.842484,6.151474,-1.833817,-0.729034,-0.597687,0.485733
walking,2.125504,7.589218,2.5056,-1.501282,-1.761932,0.525253
walking,2.394486,7.746323,3.319687,-2.565125,-1.90506,0.752762
walking,2.623001,8.170029,3.367294,-3.093842,-1.634827,1.103104
walking,0.399735,9.969589,5.364426,-3.192108,-2.016144,1.440628
walking,0.325943,15.596787,0.637009,-2.823608,-1.968079,1.803787
walking,2.799149,12.837936,-0.76503,-2.000092,-1.658325,2.196854
walking,-0.385788,9.172165,0.032394,-1.733063,-0.47699,1.170395
walking,0.528275,7.072678,1.67247,-1.611298,0.163879,0.406693
walking,1.456619,7.305954,0.905991,-1.467102,0.064545,0.492142
walking,0.852005,7.041733,0.860764,-1.426514,0.094452,0.405624
walking,0.17836,6.898911,-0.200882,-1.523712,0.420227,0.354355
walking,-0.404831,7.058395,-0.086624,-1.477783,0.593262,0.401352
walking,-0.164413,8.324753,-1.769547,-0.956543,0.693665,0.654495
walking,0.494949,9.124558,1.360642,-0.956543,0.693665,0.654495
walking,0.854385,9.576828,-0.760269,-0.584839,0.827179,0.581863
walking,1.649429,11.135971,-1.510086,-0.235565,0.438385,0.541275
walking,1.747025,12.571335,1.515366,-0.596588,-0.444946,0.550888
walking,1.428055,13.152145,0.256149,-0.805939,-0.498352,0.565842
walking,0.237869,12.954575,1.439194,-0.774963,-0.080719,0.556229
walking,-1.754501,13.259262,1.272568,-0.543182,-0.19928,0.468643
walking,-1.002304,13.980515,-0.341324,-0.035828,-0.208893,0.416306
