@relation testRelation-weka.filters.unsupervised.attribute.Remove-Rfirst-weka.filters.unsupervised.attribute.Remove-V-Rfirst-19

@attribute label {walking,standing,sit_down_chair_1,sitting_chair_1,stand_up_chair_1}
@attribute TYPE_ACCELEROMETER_X_MEAN numeric
@attribute TYPE_ACCELEROMETER_X_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_X_RANGE numeric
@attribute TYPE_ACCELEROMETER_Y_MEAN numeric
@attribute TYPE_ACCELEROMETER_Y_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Y_RANGE numeric
@attribute TYPE_ACCELEROMETER_Z_MEAN numeric
@attribute TYPE_ACCELEROMETER_Z_VARIANCE numeric
@attribute TYPE_ACCELEROMETER_Z_RANGE numeric
@attribute TYPE_GYROSCOPE_X_MEAN numeric
@attribute TYPE_GYROSCOPE_X_VARIANCE numeric
@attribute TYPE_GYROSCOPE_X_RANGE numeric
@attribute TYPE_GYROSCOPE_Y_MEAN numeric
@attribute TYPE_GYROSCOPE_Y_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Y_RANGE numeric
@attribute TYPE_GYROSCOPE_Z_MEAN numeric
@attribute TYPE_GYROSCOPE_Z_VARIANCE numeric
@attribute TYPE_GYROSCOPE_Z_RANGE numeric

@data
walking,1.504941,7.050055,17.500488,9.677726,15.375761,19.497025,-0.294478,11.154645,20.026062,0.123663,2.723666,5.777435,-0.001465,2.056639,7.660522,-0.143323,0.953094,4.230805
walking,1.622793,6.625987,17.500488,9.751041,13.043226,19.370865,-0.396096,13.074346,19.035828,-0.187447,2.470057,5.873566,-0.156256,1.561135,7.170257,0.055656,0.693135,3.976593
walking,1.244552,4.70893,15.20105,9.440879,16.11563,19.380386,-1.139938,15.891006,20.092712,-0.414218,2.262967,6.231384,0.003918,1.482631,6.496277,0.124678,0.632122,4.254303
walking,1.30756,6.961001,17.305298,9.242695,18.503687,18.2146,-1.072241,17.986682,21.147216,-0.090376,2.729422,6.7836,0.067674,1.983398,7.56546,-0.1011,0.884177,4.370728
walking,1.637694,8.136649,17.305298,9.544336,20.389914,19.385742,-1.046176,18.712229,19.297668,0.27807,2.561912,6.577454,0.059653,1.897205,7.585754,-0.265163,0.848166,4.373932
walking,1.613605,7.648047,17.271973,9.648763,21.494176,19.995117,-0.813328,15.65027,19.200074,0.219228,2.767587,6.236725,0.151105,2.066884,8.067474,-0.215602,0.879733,4.411316
walking,1.700893,8.306082,18.117005,9.66176,17.352055,19.895142,-0.118116,13.432908,19.254822,0.040147,3.005748,6.223908,-0.075528,2.439143,8.067474,-0.095546,1.033992,4.42627
walking,1.725577,7.714016,17.341004,9.832885,13.275161,19.138184,-0.471173,15.717453,19.2453,-0.243213,2.588848,6.141663,-0.193896,1.718847,7.185211,0.077542,0.796938,4.42627
walking,1.35055,5.647443,14.786865,9.48316,16.169347,19.207215,-1.092974,17.193584,18.619263,-0.44342,2.280777,6.299744,-0.036787,1.665956,7.941437,0.137154,0.685172,4.242554
walking,1.416105,5.998662,13.370545,9.17126,18.873588,19.207215,-1.010018,17.928203,21.068665,-0.104262,2.722336,6.1203,-0.001839,2.186327,7.941437,-0.07616,0.954991,4.394226
walking,1.701655,7.370943,14.898743,9.460065,18.237553,19.180435,-1.12199,17.516955,20.835389,0.264986,2.504366,6.036987,0.017964,2.068985,7.230072,-0.272917,0.835498,4.276733
walking,1.592634,7.178005,14.541687,9.48632,18.964458,19.72554,-0.754294,13.694531,18.528808,0.180594,2.637779,6.174774,0.031529,2.006958,7.822876,-0.196259,0.854541,4.257507
walking,1.694252,7.945303,15.765198,9.70075,17.445838,19.652344,-0.037469,13.019285,20.109375,0.080511,3.255191,6.715241,-0.051015,1.766828,7.680817,-0.08196,1.015611,4.906921
walking,1.581351,6.76332,15.765198,9.848494,14.867038,19.965958,-0.491501,15.938927,20.109375,-0.178859,2.783205,6.641541,-0.104741,1.273698,6.572113,0.059459,0.756745,4.906921
walking,1.212798,4.795838,12.382691,9.374419,16.21688,18.801956,-1.149412,17.122454,21.278137,-0.425198,2.138703,6.200409,0.014803,1.736208,7.545166,0.086461,0.729546,4.09729
walking,1.317772,6.611215,15.884217,9.174974,18.538015,20.390259,-1.150579,17.862796,21.278137,-0.131627,2.637739,6.010284,0.028037,2.407427,7.972412,-0.103792,1.041941,4.445496
walking,1.468116,8.295665,16.80542,9.338309,19.359618,20.453934,-1.102328,16.933809,19.902283,0.14258,2.701168,6.25061,0.020335,1.912155,8.162537,-0.207196,0.938092,4.323731
walking,1.403632,7.195897,16.467407,9.398098,20.015624,20.296829,-1.065099,16.715466,19.902283,0.240558,2.75524,6.731262,0.122768,1.694072,6.942749,-0.255464,0.833154,4.368591
walking,1.651619,6.756061,15.643799,9.363136,19.993115,20.387283,-0.371959,12.562006,18.550232,0.131899,3.207326,6.731262,0.043748,1.981613,7.082672,-0.182576,0.936141,4.402771
walking,1.817507,7.172895,16.017517,10.037138,15.405664,20.387283,0.028157,11.313988,18.569275,-0.013547,2.973588,6.508026,-0.160037,2.082312,7.596435,-0.042418,0.816969,4.212646
